,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,geometry
11269,3,19869,Boronia Railway Station (Boronia),-37.860451799848,145.28438514597,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.28438514597 -37.860451799848)
11270,4,19870,Bayswater Railway Station (Bayswater),-37.8417300411029,145.268136389217,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.268136389217 -37.8417300411029)
11271,5,19871,Heathmont Railway Station (Heathmont),-37.8283222725421,145.244555375848,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.244555375848 -37.8283222725421)
11272,6,19902,Ringwood Railway Station (Ringwood),-37.815659765275,145.229473723591,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.229473723591 -37.815659765275)
11273,7,19901,Heatherdale Railway Station (Ringwood),-37.8188348484408,145.213549822481,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.213549822481 -37.8188348484408)
11274,8,19900,Mitcham Railway Station (Mitcham),-37.8180870551977,145.192891813036,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.192891813036 -37.8180870551977)
11275,9,19899,Nunawading Railway Station (Nunawading),-37.8204282805611,145.175236853013,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.175236853013 -37.8204282805611)
11276,10,19898,Blackburn Railway Station (Blackburn),-37.8200707463717,145.150013542281,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.150013542281 -37.8200707463717)
11277,12,20042,Box Hill Railway Station (Box Hill),-37.8192216542552,145.121428934402,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.121428934402 -37.8192216542552)
11278,13,49343,Union Railway Station (Mont Albert),-37.8231179245399,145.100278054663,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.100278054663 -37.8231179245399)
11279,23,19908,Richmond Railway Station (Richmond),-37.8240744554307,144.990164256273,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.990164256273 -37.8240744554307)
